Station_ID,Date,Latitude,Longitude,SMAP_Moisture
TXS01,2015-04-03,30.42047,-98.80332,0.1340514
TXS01,2015-04-06,30.42047,-98.80332,0.1342754
TXS01,2015-04-08,30.42047,-98.80332,0.1273242
TXS01,2015-04-11,30.42047,-98.80332,0.1565886
TXS01,2015-04-14,30.42047,-98.80332,0.1567663
TXS01,2015-04-16,30.42047,-98.80332,0.1246611
TXS01,2015-04-17,30.42047,-98.80332,0.123712
TXS01,2015-04-19,30.42047,-98.80332,0.3010828
TXS01,2015-04-22,30.42047,-98.80332,0.2020567
TXS01,2015-04-24,30.42047,-98.80332,0.3361306
TXS01,2015-04-25,30.42047,-98.80332,0.237421
TXS01,2015-04-27,30.42047,-98.80332,0.2911338
TXS01,2015-05-05,30.42047,-98.80332,0.1247923
TXS01,2015-05-08,30.42047,-98.80332,0.1450888
TXS01,2015-05-10,30.42047,-98.80332,0.1725492
TXS01,2015-05-16,30.42047,-98.80332,0.2493041
TXS01,2015-05-18,30.42047,-98.80332,0.2833717
TXS01,2015-05-21,30.42047,-98.80332,0.3764983
TXS01,2015-05-24,30.42047,-98.80332,0.3673294
TXS01,2015-05-26,30.42047,-98.80332,0.3059275
TXS01,2015-05-29,30.42047,-98.80332,0.3751211
TXS01,2015-06-01,30.42047,-98.80332,0.2655954
TXS01,2015-06-03,30.42047,-98.80332,0.2205009
TXS01,2015-06-06,30.42047,-98.80332,0.1677218
TXS01,2015-06-09,30.42047,-98.80332,0.1403372
TXS01,2015-06-11,30.42047,-98.80332,0.1240441
TXS01,2015-06-14,30.42047,-98.80332,0.1252732
TXS01,2015-06-19,30.42047,-98.80332,0.2398854
TXS01,2015-06-25,30.42047,-98.80332,0.1751118
TXS01,2015-06-27,30.42047,-98.80332,0.1612986
TXS01,2015-06-28,30.42047,-98.80332,0.180544
TXS01,2015-06-30,30.42047,-98.80332,0.179836
TXS01,2015-07-03,30.42047,-98.80332,0.1314617
TXS01,2015-07-05,30.42047,-98.80332,0.1290749
TXS01,2015-07-06,30.42047,-98.80332,0.109164
TXS01,2015-07-08,30.42047,-98.80332,0.1199692
TXS01,2015-07-11,30.42047,-98.80332,0.107797
TXS01,2015-07-13,30.42047,-98.80332,0.092395
TXS01,2015-07-14,30.42047,-98.80332,0.0893473
TXS01,2015-07-16,30.42047,-98.80332,0.0893821
TXS01,2015-07-19,30.42047,-98.80332,0.0900723
TXS01,2015-07-21,30.42047,-98.80332,0.09916
TXS01,2015-07-22,30.42047,-98.80332,0.0865353
TXS01,2015-07-24,30.42047,-98.80332,0.0861517
TXS01,2015-07-29,30.42047,-98.80332,0.0958029
TXS01,2015-07-30,30.42047,-98.80332,0.0859307
TXS01,2015-08-01,30.42047,-98.80332,0.1624264
TXS01,2015-08-04,30.42047,-98.80332,0.1122106
TXS01,2015-08-06,30.42047,-98.80332,0.1164552
TXS01,2015-08-07,30.42047,-98.80332,0.0993444
TXS01,2015-08-09,30.42047,-98.80332,0.1191189
TXS01,2015-08-14,30.42047,-98.80332,0.1199382
TXS01,2015-08-15,30.42047,-98.80332,0.1207749
TXS01,2015-08-17,30.42047,-98.80332,0.1160265
TXS01,2015-08-20,30.42047,-98.80332,0.0969052
TXS01,2015-08-22,30.42047,-98.80332,0.1060586
TXS01,2015-08-23,30.42047,-98.80332,0.0980403
TXS01,2015-08-25,30.42047,-98.80332,0.1084673
