Station_ID,Date,Latitude,Longitude,Precipitation,T_Max,T_Min,OpenMeteo_SM,SMAP_Moisture
CB09,2016-02-20,30.4283,-98.8065,0.0,24.6,16.7,,0.24083333333333334
CB09,2016-02-21,30.4283,-98.8065,5.8,20.4,16.2,,0.23675
CB09,2016-02-22,30.4283,-98.8065,0.2,19.7,13.6,,0.23525
CB09,2016-02-23,30.4283,-98.8065,30.6,14.9,7.0,,0.3713125
CB09,2016-02-24,30.4283,-98.8065,0.0,15.6,5.5,,0.35083333333333333
CB09,2016-02-25,30.4283,-98.8065,0.0,16.9,4.6,,0.33627083333333335
CB09,2016-02-26,30.4283,-98.8065,0.0,16.7,2.6,,0.326625
CB09,2016-02-27,30.4283,-98.8065,0.0,20.1,6.2,,0.3210972222222222
CB09,2016-02-28,30.4283,-98.8065,0.0,24.2,11.3,,0.31735416666666666
CB09,2016-02-29,30.4283,-98.8065,0.0,22.7,13.5,,0.3131527777777778
CB09,2016-03-01,30.4283,-98.8065,0.0,23.4,13.9,,0.3075625
CB09,2016-03-02,30.4283,-98.8065,0.0,24.2,8.8,,0.29632291666666666
CB09,2016-03-03,30.4283,-98.8065,0.0,25.1,14.7,,0.29113541666666665
CB09,2016-03-04,30.4283,-98.8065,0.0,23.7,6.9,,0.2802291666666667
CB09,2016-03-05,30.4283,-98.8065,0.0,24.7,9.2,,0.27420833333333333
CB09,2016-03-06,30.4283,-98.8065,0.1,22.3,12.2,,0.2667083333333333
CB09,2016-03-07,30.4283,-98.8065,0.8,22.2,16.4,,0.26366666666666666
CB09,2016-03-08,30.4283,-98.8065,7.5,26.8,16.4,,0.28397916666666667
CB09,2016-03-09,30.4283,-98.8065,16.6,16.6,14.1,,0.3729166666666666
CB09,2016-03-10,30.4283,-98.8065,25.6,14.8,12.7,,0.4028541666666667
CB09,2016-03-11,30.4283,-98.8065,45.2,18.7,12.4,,0.39825
CB09,2016-03-12,30.4283,-98.8065,0.1,21.0,11.5,,0.381125
CB09,2016-03-13,30.4283,-98.8065,0.0,25.0,13.9,,0.36925
CB09,2016-03-14,30.4283,-98.8065,0.0,28.9,14.6,,0.35555208333333327
CB09,2016-03-15,30.4283,-98.8065,0.0,28.2,17.5,,0.3457152777777777
CB09,2016-03-16,30.4283,-98.8065,0.0,26.1,13.3,,0.33432638888888894
CB09,2016-03-17,30.4283,-98.8065,1.1,23.6,18.3,,0.3291875
CB09,2016-03-18,30.4283,-98.8065,0.7,25.4,12.6,,0.34120833333333334
CB09,2016-03-19,30.4283,-98.8065,0.0,14.2,6.6,,0.36547916666666663
CB09,2016-03-20,30.4283,-98.8065,0.0,14.4,4.2,,0.34400000000000003
CB09,2016-03-21,30.4283,-98.8065,0.0,17.7,3.2,,0.33284375
CB09,2016-03-22,30.4283,-98.8065,0.0,23.3,8.7,,0.32594791666666667
CB09,2016-03-23,30.4283,-98.8065,0.1,27.8,15.3,,0.32079166666666664
CB09,2016-03-24,30.4283,-98.8065,2.4,17.8,9.4,,0.30774999999999997
CB09,2016-03-25,30.4283,-98.8065,0.0,21.8,5.2,,0.30002083333333335
CB09,2016-03-26,30.4283,-98.8065,0.0,23.9,9.7,,0.29516666666666663
CB09,2016-03-27,30.4283,-98.8065,0.1,19.9,12.9,,0.2886333333333333
CB09,2016-03-28,30.4283,-98.8065,0.0,21.4,6.6,,0.2807763888888889
CB09,2016-03-29,30.4283,-98.8065,0.0,20.3,13.0,,0.2740486111111111
CB09,2016-03-30,30.4283,-98.8065,0.3,27.5,18.6,,0.27608333333333335
CB09,2016-03-31,30.4283,-98.8065,0.2,25.6,16.9,,0.27195833333333336
CB09,2016-04-01,30.4283,-98.8065,8.8,16.4,10.3,,0.3114166666666667
CB09,2016-04-02,30.4283,-98.8065,0.0,19.4,5.3,,0.34241666666666665
CB09,2016-04-03,30.4283,-98.8065,0.0,22.8,6.9,,0.32154166666666667
CB09,2016-04-04,30.4283,-98.8065,0.0,26.5,11.1,,0.30402083333333335
CB09,2016-04-05,30.4283,-98.8065,0.0,26.3,12.6,,0.28709166666666663
CB09,2016-04-06,30.4283,-98.8065,0.2,24.8,13.8,,0.2725125
CB09,2016-04-07,30.4283,-98.8065,0.0,27.2,9.3,,0.25916666666666666
CB09,2016-04-08,30.4283,-98.8065,0.0,23.6,12.4,,0.2465625
CB09,2016-04-09,30.4283,-98.8065,2.9,22.7,13.7,,0.23864583333333333
CB09,2016-04-10,30.4283,-98.8065,0.0,25.2,16.2,,0.23562499999999997
CB09,2016-04-11,30.4283,-98.8065,0.1,29.6,19.0,,0.23438194444444446
CB09,2016-04-12,30.4283,-98.8065,11.1,20.8,15.6,,0.23668055555555556
CB09,2016-04-13,30.4283,-98.8065,12.0,19.8,14.1,,0.3816875
CB09,2016-04-14,30.4283,-98.8065,0.0,23.5,12.5,,0.3606041666666666
CB09,2016-04-15,30.4283,-98.8065,0.0,25.3,12.7,,0.3383095238095238
CB09,2016-04-16,30.4283,-98.8065,2.3,22.5,14.8,,0.3227529761904762
